alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
5034.0,0.0,4966.0,1.0,2508.0,2526.0,1735.0
5815.0,0.0,4185.0,15.0,3946.0,1869.0,1135.0
6422.0,0.0,3578.0,19.0,4876.0,1546.0,865.0
6945.0,0.0,3055.0,23.0,5582.0,1363.0,792.0
7374.0,0.0,2626.0,24.0,6173.0,1201.0,696.0
7770.0,0.0,2230.0,24.0,6675.0,1095.0,691.0
8087.0,0.0,1913.0,28.0,7103.0,984.0,583.0
8367.0,0.0,1633.0,28.0,7458.0,909.0,514.0
8598.0,0.0,1402.0,28.0,7759.0,839.0,461.0
8812.0,0.0,1188.0,29.0,8056.0,756.0,428.0
3986.0,5034.0,980.0,30.0,8312.0,708.0,151.0
3354.0,5815.0,831.0,31.0,8432.0,737.0,99.0
2872.0,6422.0,706.0,31.0,8552.0,742.0,61.0
2449.0,6945.0,606.0,32.0,8639.0,755.0,36.0
2107.0,7374.0,519.0,32.0,8728.0,753.0,18.0
1776.0,7770.0,454.0,33.0,8783.0,763.0,15.0
1516.0,8087.0,397.0,33.0,8839.0,764.0,7.0
1268.0,8367.0,365.0,33.0,8868.0,767.0,7.0
1066.0,8598.0,336.0,33.0,8898.0,766.0,6.0
876.0,8812.0,312.0,34.0,8918.0,770.0,6.0
687.0,9020.0,293.0,34.0,8937.0,770.0,4.0
553.0,9169.0,278.0,34.0,8952.0,770.0,5.0
438.0,9294.0,268.0,34.0,8959.0,773.0,5.0
344.0,9394.0,262.0,34.0,8966.0,772.0,3.0
258.0,9481.0,261.0,34.0,8968.0,771.0,0.0
194.0,9546.0,260.0,34.0,8969.0,771.0,0.0
140.0,9603.0,257.0,34.0,8972.0,771.0,0.0
109.0,9635.0,256.0,34.0,8973.0,771.0,0.0
81.0,9664.0,255.0,34.0,8974.0,771.0,0.0
57.0,9688.0,255.0,34.0,8974.0,771.0,480.0
38.0,4673.0,5289.0,34.0,4420.0,291.0,55.0
41.0,3907.0,6052.0,35.0,3710.0,238.0,47.0
56.0,3310.0,6634.0,35.0,3173.0,193.0,43.0
73.0,2793.0,7134.0,35.0,2716.0,150.0,25.0
104.0,2365.0,7531.0,35.0,2344.0,125.0,25.0
146.0,1970.0,7884.0,35.0,2016.0,100.0,17.0
193.0,1656.0,8151.0,36.0,1764.0,85.0,14.0
247.0,1377.0,8376.0,36.0,1551.0,73.0,13.0
321.0,1147.0,8532.0,36.0,1408.0,60.0,13.0
414.0,933.0,8653.0,36.0,1296.0,51.0,17.0
520.0,725.0,8755.0,36.0,1201.0,44.0,16.0
621.0,594.0,8785.0,37.0,1183.0,32.0,17.0
731.0,494.0,8775.0,38.0,1196.0,29.0,14.0
851.0,417.0,8732.0,39.0,1241.0,27.0,19.0
964.0,362.0,8674.0,39.0,1304.0,22.0,18.0
1118.0,340.0,8542.0,40.0,1440.0,18.0,17.0
