alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
4988.0,0.0,5012.0,1.0,2464.0,2524.0,1755.0
5733.0,0.0,4267.0,13.0,3922.0,1811.0,1087.0
6357.0,0.0,3643.0,19.0,4893.0,1464.0,809.0
6930.0,0.0,3070.0,22.0,5671.0,1259.0,685.0
7442.0,0.0,2558.0,25.0,6296.0,1146.0,626.0
7847.0,0.0,2153.0,27.0,6795.0,1052.0,603.0
8180.0,0.0,1820.0,27.0,7217.0,963.0,505.0
8471.0,0.0,1529.0,28.0,7563.0,908.0,526.0
8713.0,0.0,1287.0,29.0,7869.0,844.0,482.0
8922.0,0.0,1078.0,29.0,8134.0,788.0,405.0
4776.0,4285.0,939.0,29.0,8298.0,763.0,174.0
3643.0,5553.0,804.0,30.0,8419.0,777.0,96.0
3076.0,6235.0,689.0,31.0,8532.0,779.0,564.0
2592.0,2529.0,4879.0,31.0,4846.0,275.0,164.0
2690.0,1779.0,5531.0,33.0,4334.0,135.0,70.0
2983.0,1541.0,5476.0,33.0,4443.0,81.0,52.0
3409.0,1279.0,5312.0,38.0,4655.0,33.0,22.0
3787.0,1095.0,5118.0,39.0,4863.0,19.0,13.0
4287.0,881.0,4832.0,41.0,5162.0,6.0,7.0
4760.0,787.0,4453.0,42.0,5538.0,9.0,5.0
5235.0,609.0,4156.0,42.0,5836.0,8.0,5.0
5711.0,509.0,3780.0,42.0,6213.0,7.0,6.0
6169.0,409.0,3422.0,43.0,6577.0,1.0,7.0
6593.0,351.0,3056.0,45.0,6938.0,6.0,7.0
6492.0,744.0,2764.0,46.0,7229.0,7.0,9.0
6221.0,1323.0,2456.0,47.0,7536.0,8.0,6.0
5876.0,1952.0,2172.0,47.0,7822.0,6.0,6.0
5492.0,2145.0,2363.0,47.0,7627.0,10.0,10.0
5097.0,2199.0,2704.0,47.0,7284.0,12.0,8.0
4827.0,2166.0,3007.0,48.0,6983.0,10.0,9.0
4634.0,2090.0,3276.0,48.0,6717.0,7.0,10.0
4553.0,1934.0,3513.0,48.0,6482.0,5.0,9.0
4449.0,1832.0,3719.0,49.0,6277.0,4.0,12.0
4497.0,1732.0,3771.0,50.0,6221.0,8.0,7.0
4642.0,1565.0,3793.0,51.0,6196.0,11.0,10.0
4774.0,1417.0,3809.0,51.0,6178.0,13.0,11.0
4938.0,1262.0,3800.0,51.0,6190.0,10.0,14.0
5192.0,1162.0,3646.0,52.0,6342.0,12.0,17.0
5369.0,1076.0,3555.0,53.0,6432.0,13.0,16.0
5518.0,1108.0,3374.0,54.0,6609.0,17.0,10.0
5576.0,1226.0,3198.0,54.0,6795.0,7.0,11.0
5556.0,1375.0,3069.0,54.0,6915.0,16.0,15.0
5552.0,1438.0,3010.0,56.0,6977.0,13.0,16.0
5430.0,1547.0,3023.0,57.0,6960.0,17.0,17.0
5317.0,1631.0,3052.0,58.0,6930.0,18.0,11.0
5220.0,1735.0,3045.0,59.0,6934.0,21.0,14.0
5123.0,1725.0,3152.0,60.0,6827.0,21.0,13.0
5060.0,1702.0,3238.0,60.0,6748.0,14.0,17.0
4970.0,1675.0,3355.0,60.0,6628.0,17.0,11.0
4916.0,1688.0,3396.0,62.0,6588.0,16.0,9.0
4920.0,1631.0,3449.0,65.0,6538.0,13.0,13.0
4927.0,1581.0,3492.0,65.0,6492.0,16.0,15.0
4999.0,1499.0,3502.0,65.0,6477.0,21.0,13.0
5069.0,1439.0,3492.0,66.0,6494.0,14.0,12.0
5133.0,1420.0,3447.0,68.0,6535.0,18.0,11.0
5166.0,1432.0,3402.0,69.0,6587.0,11.0,12.0
5215.0,1432.0,3353.0,69.0,6636.0,11.0,14.0
5183.0,1472.0,3345.0,72.0,6646.0,9.0,15.0
5233.0,1457.0,3310.0,73.0,6678.0,12.0,15.0
5184.0,1524.0,3292.0,74.0,6697.0,11.0,16.0
5163.0,1521.0,3316.0,76.0,6669.0,15.0,12.0
5132.0,1557.0,3311.0,79.0,6672.0,17.0,13.0
5028.0,1592.0,3380.0,82.0,6608.0,12.0,16.0
4997.0,1588.0,3415.0,84.0,6567.0,18.0,23.0
4945.0,1626.0,3429.0,84.0,6556.0,15.0,26.0
4925.0,1599.0,3476.0,85.0,6503.0,21.0,17.0
4952.0,1578.0,3470.0,86.0,6506.0,24.0,21.0
4969.0,1522.0,3509.0,87.0,6472.0,19.0,23.0
4950.0,1524.0,3526.0,89.0,6452.0,22.0,21.0
5026.0,1493.0,3481.0,90.0,6500.0,19.0,21.0
5061.0,1501.0,3438.0,91.0,6540.0,22.0,22.0
5069.0,1456.0,3475.0,93.0,6495.0,30.0,18.0
5159.0,1436.0,3405.0,95.0,6573.0,22.0,19.0
5170.0,1422.0,3408.0,96.0,6561.0,31.0,18.0
5162.0,1439.0,3399.0,97.0,6578.0,23.0,20.0
5185.0,1496.0,3319.0,98.0,6658.0,23.0,23.0
5141.0,1533.0,3326.0,99.0,6652.0,22.0,22.0
5118.0,1546.0,3336.0,99.0,6640.0,24.0,31.0
5107.0,1549.0,3344.0,100.0,6631.0,25.0,30.0
5046.0,1567.0,3387.0,101.0,6586.0,27.0,29.0
5040.0,1593.0,3367.0,102.0,6603.0,30.0,30.0
5059.0,1575.0,3366.0,103.0,6610.0,24.0,31.0
5037.0,1569.0,3394.0,103.0,6581.0,25.0,27.0
5078.0,1531.0,3391.0,104.0,6583.0,26.0,32.0
5116.0,1532.0,3352.0,107.0,6618.0,30.0,31.0
5085.0,1522.0,3393.0,111.0,6576.0,31.0,30.0
5093.0,1504.0,3403.0,112.0,6562.0,35.0,20.0
5150.0,1502.0,3348.0,113.0,6627.0,25.0,29.0
5192.0,1471.0,3337.0,115.0,6623.0,40.0,27.0
5203.0,1472.0,3325.0,115.0,6634.0,41.0,22.0
5141.0,1515.0,3344.0,117.0,6613.0,43.0,29.0
5129.0,1527.0,3344.0,118.0,6622.0,34.0,35.0
5140.0,1560.0,3300.0,118.0,6655.0,45.0,30.0
5082.0,1569.0,3349.0,121.0,6616.0,35.0,26.0
5039.0,1589.0,3372.0,122.0,6581.0,47.0,23.0
5039.0,1570.0,3391.0,122.0,6573.0,36.0,29.0
5070.0,1519.0,3411.0,122.0,6550.0,39.0,30.0
5005.0,1536.0,3459.0,126.0,6508.0,33.0,30.0
4998.0,1578.0,3424.0,128.0,6541.0,35.0,36.0
5023.0,1582.0,3395.0,130.0,6572.0,33.0,30.0
5037.0,1506.0,3457.0,131.0,6510.0,33.0,32.0
5059.0,1457.0,3484.0,133.0,6485.0,31.0,30.0
5049.0,1475.0,3476.0,134.0,6491.0,33.0,27.0
5067.0,1490.0,3443.0,134.0,6529.0,28.0,28.0
5099.0,1472.0,3429.0,135.0,6543.0,28.0,33.0
5130.0,1445.0,3425.0,135.0,6548.0,27.0,27.0
5156.0,1452.0,3392.0,135.0,6576.0,32.0,27.0
5186.0,1471.0,3343.0,135.0,6628.0,29.0,35.0
5166.0,1500.0,3334.0,137.0,6634.0,32.0,36.0
5175.0,1499.0,3326.0,138.0,6642.0,32.0,32.0
5160.0,1502.0,3338.0,139.0,6620.0,42.0,32.0
5115.0,1503.0,3382.0,141.0,6580.0,38.0,25.0
5091.0,1518.0,3391.0,143.0,6570.0,39.0,29.0
5092.0,1518.0,3390.0,143.0,6576.0,34.0,39.0
5072.0,1518.0,3410.0,144.0,6555.0,35.0,36.0
5063.0,1513.0,3424.0,147.0,6545.0,31.0,37.0
5063.0,1535.0,3402.0,150.0,6562.0,36.0,45.0
5082.0,1540.0,3378.0,153.0,6581.0,41.0,45.0
5136.0,1543.0,3321.0,158.0,6643.0,36.0,43.0
5107.0,1529.0,3364.0,159.0,6591.0,45.0,46.0
5091.0,1494.0,3415.0,162.0,6532.0,53.0,37.0
5126.0,1468.0,3406.0,166.0,6548.0,46.0,50.0
5166.0,1427.0,3407.0,166.0,6533.0,60.0,52.0
5157.0,1460.0,3383.0,167.0,6569.0,48.0,65.0
5177.0,1468.0,3355.0,169.0,6596.0,49.0,59.0
5159.0,1486.0,3355.0,171.0,6591.0,54.0,57.0
5134.0,1472.0,3394.0,172.0,6549.0,57.0,66.0
5079.0,1536.0,3385.0,172.0,6542.0,73.0,52.0
5033.0,1610.0,3357.0,173.0,6588.0,55.0,67.0
5046.0,1587.0,3367.0,174.0,6585.0,48.0,80.0
5090.0,1513.0,3397.0,176.0,6537.0,66.0,73.0
5096.0,1462.0,3442.0,178.0,6481.0,77.0,57.0
5101.0,1490.0,3409.0,179.0,6529.0,62.0,60.0
5099.0,1521.0,3380.0,183.0,6550.0,70.0,61.0
5077.0,1517.0,3406.0,186.0,6529.0,65.0,58.0
5101.0,1487.0,3412.0,188.0,6521.0,67.0,56.0
5153.0,1440.0,3407.0,190.0,6508.0,85.0,57.0
5162.0,1442.0,3396.0,191.0,6536.0,68.0,58.0
5172.0,1470.0,3358.0,192.0,6576.0,66.0,58.0
5173.0,1510.0,3317.0,193.0,6615.0,68.0,55.0
5129.0,1530.0,3341.0,195.0,6604.0,55.0,56.0
5131.0,1515.0,3354.0,196.0,6585.0,61.0,52.0
5125.0,1538.0,3337.0,200.0,6594.0,69.0,46.0
5107.0,1524.0,3369.0,202.0,6562.0,69.0,56.0
