alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
4999.0,0.0,5001.0,1.0,2467.0,2532.0,1733.0
5770.0,0.0,4230.0,9.0,3973.0,1797.0,1082.0
6390.0,0.0,3610.0,15.0,4917.0,1473.0,850.0
6953.0,0.0,3047.0,20.0,5680.0,1273.0,736.0
7416.0,0.0,2584.0,25.0,6309.0,1107.0,602.0
7780.0,0.0,2220.0,27.0,6771.0,1009.0,569.0
8131.0,0.0,1869.0,28.0,7233.0,898.0,503.0
8411.0,0.0,1589.0,31.0,7598.0,813.0,439.0
8651.0,0.0,1349.0,32.0,7871.0,780.0,401.0
8854.0,0.0,1146.0,33.0,8121.0,733.0,387.0
4035.0,4999.0,966.0,33.0,8308.0,726.0,119.0
3389.0,5770.0,841.0,33.0,8426.0,733.0,68.0
2887.0,6390.0,723.0,34.0,8532.0,745.0,548.0
2419.0,1954.0,5627.0,34.0,4136.0,237.0,150.0
2666.0,1646.0,5688.0,38.0,4207.0,105.0,55.0
3039.0,1390.0,5571.0,40.0,4371.0,58.0,49.0
3453.0,1178.0,5369.0,40.0,4606.0,25.0,7.0
3931.0,995.0,5074.0,41.0,4906.0,20.0,10.0
4432.0,871.0,4697.0,42.0,5279.0,24.0,10.0
4921.0,723.0,4356.0,42.0,5628.0,16.0,17.0
5405.0,623.0,3972.0,44.0,6011.0,17.0,7.0
5859.0,508.0,3633.0,44.0,6349.0,18.0,11.0
6271.0,423.0,3306.0,44.0,6675.0,19.0,14.0
6662.0,338.0,3000.0,45.0,6987.0,13.0,18.0
6392.0,923.0,2685.0,46.0,7292.0,23.0,17.0
6062.0,1542.0,2396.0,46.0,7582.0,22.0,15.0
5645.0,2212.0,2143.0,46.0,7832.0,25.0,17.0
5217.0,2260.0,2523.0,46.0,7461.0,16.0,14.0
4875.0,2264.0,2861.0,46.0,7125.0,14.0,11.0
4663.0,2191.0,3146.0,47.0,6837.0,17.0,12.0
4479.0,2097.0,3424.0,47.0,6565.0,11.0,10.0
4423.0,1935.0,3642.0,47.0,6347.0,11.0,18.0
4419.0,1773.0,3808.0,49.0,6183.0,9.0,19.0
4492.0,1595.0,3913.0,49.0,6077.0,10.0,19.0
4636.0,1456.0,3908.0,49.0,6083.0,9.0,15.0
4819.0,1333.0,3848.0,50.0,6132.0,20.0,14.0
5023.0,1195.0,3782.0,53.0,6208.0,10.0,20.0
5238.0,1085.0,3677.0,53.0,6299.0,24.0,20.0
5387.0,1077.0,3536.0,53.0,6440.0,24.0,17.0
