alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
4974.0,0.0,5026.0,1.0,2504.0,2470.0,1781.0
5728.0,0.0,4272.0,12.0,4051.0,1677.0,1061.0
6381.0,0.0,3619.0,23.0,5045.0,1336.0,797.0
6934.0,0.0,3066.0,25.0,5815.0,1119.0,677.0
7402.0,0.0,2598.0,27.0,6394.0,1008.0,600.0
7777.0,0.0,2223.0,29.0,6839.0,938.0,552.0
8115.0,0.0,1885.0,30.0,7235.0,880.0,513.0
8384.0,0.0,1616.0,30.0,7603.0,781.0,420.0
8639.0,0.0,1361.0,31.0,7894.0,745.0,389.0
8832.0,0.0,1168.0,31.0,8150.0,682.0,343.0
4745.0,4265.0,990.0,33.0,8325.0,685.0,142.0
3629.0,5523.0,848.0,33.0,8473.0,679.0,89.0
3010.0,6251.0,739.0,33.0,8565.0,696.0,48.0
2545.0,6821.0,634.0,33.0,8660.0,706.0,23.0
2109.0,7329.0,562.0,33.0,8725.0,713.0,22.0
1824.0,7694.0,482.0,33.0,8809.0,709.0,10.0
1524.0,8045.0,431.0,33.0,8856.0,713.0,6.0
1290.0,8327.0,383.0,33.0,8904.0,713.0,4.0
1065.0,8586.0,349.0,33.0,8936.0,715.0,4.0
882.0,8788.0,330.0,33.0,8953.0,717.0,3.0
715.0,8967.0,318.0,33.0,8966.0,716.0,2.0
570.0,9124.0,306.0,33.0,8978.0,716.0,1.0
468.0,9243.0,289.0,33.0,8996.0,715.0,1.0
371.0,9346.0,283.0,33.0,9001.0,716.0,1.0
295.0,9428.0,277.0,33.0,9008.0,715.0,2.0
226.0,9504.0,270.0,33.0,9013.0,717.0,1.0
175.0,9556.0,269.0,33.0,9013.0,718.0,0.0
124.0,9610.0,266.0,33.0,9016.0,718.0,0.0
88.0,9646.0,266.0,33.0,9016.0,718.0,0.0
67.0,9667.0,266.0,33.0,9016.0,718.0,454.0
56.0,5414.0,4530.0,33.0,5206.0,264.0,75.0
72.0,4166.0,5762.0,33.0,4049.0,189.0,43.0
77.0,3456.0,6467.0,33.0,3385.0,148.0,34.0
99.0,2895.0,7006.0,33.0,2878.0,116.0,23.0
133.0,2393.0,7474.0,33.0,2431.0,95.0,18.0
177.0,2035.0,7788.0,33.0,2135.0,77.0,15.0
243.0,1686.0,8071.0,33.0,1867.0,62.0,13.0
330.0,1407.0,8263.0,34.0,1688.0,49.0,14.0
441.0,1148.0,8411.0,35.0,1554.0,35.0,6.0
543.0,946.0,8511.0,35.0,1460.0,29.0,6.0
695.0,768.0,8537.0,36.0,1440.0,23.0,5.0
829.0,634.0,8537.0,36.0,1445.0,18.0,2.0
982.0,539.0,8479.0,36.0,1505.0,16.0,2.0
1146.0,463.0,8391.0,37.0,1595.0,14.0,3.0
1304.0,420.0,8276.0,39.0,1713.0,11.0,4.0
1522.0,392.0,8086.0,39.0,1907.0,7.0,2.0
1717.0,410.0,7873.0,43.0,2122.0,5.0,2.0
1915.0,437.0,7648.0,43.0,2347.0,5.0,3.0
2109.0,512.0,7379.0,45.0,2619.0,2.0,1.0
2333.0,586.0,7081.0,48.0,2916.0,3.0,1.0
2507.0,723.0,6770.0,50.0,3228.0,2.0,1.0
2663.0,862.0,6475.0,50.0,3522.0,3.0,2.0
2821.0,1023.0,6156.0,52.0,3841.0,3.0,2.0
2956.0,1206.0,5838.0,52.0,4159.0,3.0,3.0
3088.0,1415.0,5497.0,52.0,4499.0,4.0,6.0
3156.0,1664.0,5180.0,53.0,4816.0,4.0,3.0
3206.0,1936.0,4858.0,53.0,5135.0,7.0,3.0
3280.0,2209.0,4511.0,53.0,5483.0,6.0,5.0
3331.0,2520.0,4149.0,55.0,5842.0,9.0,4.0
3326.0,2844.0,3830.0,56.0,6159.0,11.0,4.0
3324.0,3174.0,3502.0,57.0,6487.0,11.0,6.0
3326.0,3456.0,3218.0,58.0,6771.0,11.0,8.0
3286.0,3769.0,2945.0,59.0,7044.0,11.0,7.0
3241.0,4069.0,2690.0,59.0,7300.0,10.0,9.0
3129.0,4377.0,2494.0,59.0,7493.0,13.0,5.0
3027.0,4653.0,2320.0,61.0,7668.0,12.0,5.0
2922.0,4907.0,2171.0,61.0,7816.0,13.0,3.0
2749.0,5176.0,2075.0,61.0,7913.0,12.0,3.0
2601.0,5427.0,1972.0,62.0,8015.0,13.0,2.0
2452.0,5651.0,1897.0,63.0,8092.0,11.0,2.0
2284.0,5831.0,1885.0,65.0,8102.0,13.0,2.0
2122.0,5989.0,1889.0,65.0,8100.0,11.0,1.0
1947.0,6107.0,1946.0,65.0,8042.0,12.0,1.0
1793.0,6197.0,2010.0,66.0,7979.0,11.0,0.0
1730.0,6217.0,2053.0,66.0,7936.0,11.0,0.0
1658.0,6183.0,2159.0,66.0,7830.0,11.0,3.0
1590.0,6128.0,2282.0,66.0,7708.0,10.0,1.0
1570.0,6029.0,2401.0,66.0,7590.0,9.0,2.0
1507.0,5932.0,2561.0,67.0,7428.0,11.0,2.0
1481.0,5778.0,2741.0,68.0,7250.0,9.0,2.0
1511.0,5608.0,2881.0,69.0,7108.0,11.0,3.0
1539.0,5448.0,3013.0,71.0,6979.0,8.0,2.0
1614.0,5233.0,3153.0,73.0,6837.0,10.0,4.0
1715.0,5034.0,3251.0,76.0,6743.0,6.0,3.0
1758.0,4859.0,3383.0,76.0,6610.0,7.0,2.0
1845.0,4685.0,3470.0,76.0,6525.0,5.0,2.0
1935.0,4512.0,3553.0,78.0,6442.0,5.0,3.0
2060.0,4319.0,3621.0,78.0,6375.0,4.0,1.0
2198.0,4108.0,3694.0,79.0,6303.0,3.0,2.0
2353.0,3933.0,3714.0,83.0,6283.0,3.0,3.0
2454.0,3795.0,3751.0,84.0,6247.0,2.0,2.0
2590.0,3661.0,3749.0,84.0,6249.0,2.0,2.0
2712.0,3561.0,3727.0,85.0,6271.0,2.0,3.0
2790.0,3508.0,3702.0,88.0,6297.0,1.0,4.0
2895.0,3488.0,3617.0,88.0,6380.0,3.0,5.0
2992.0,3503.0,3505.0,91.0,6493.0,2.0,4.0
3064.0,3525.0,3411.0,94.0,6587.0,2.0,5.0
3088.0,3630.0,3282.0,97.0,6715.0,3.0,13.0
3086.0,3705.0,3209.0,98.0,6781.0,10.0,12.0
3085.0,3834.0,3081.0,100.0,6913.0,6.0,13.0
3094.0,3965.0,2941.0,103.0,7050.0,9.0,11.0
3066.0,4121.0,2813.0,103.0,7183.0,4.0,17.0
3051.0,4313.0,2636.0,104.0,7349.0,15.0,16.0
3018.0,4487.0,2495.0,104.0,7492.0,13.0,16.0
2980.0,4630.0,2390.0,104.0,7591.0,19.0,13.0
2927.0,4811.0,2262.0,109.0,7720.0,18.0,16.0
2867.0,4965.0,2168.0,111.0,7818.0,14.0,21.0
2828.0,5102.0,2070.0,113.0,7909.0,21.0,14.0
2784.0,5236.0,1980.0,114.0,7995.0,25.0,12.0
2688.0,5402.0,1910.0,115.0,8065.0,25.0,12.0
2612.0,5495.0,1893.0,117.0,8076.0,31.0,13.0
2555.0,5579.0,1866.0,118.0,8110.0,24.0,10.0
2452.0,5686.0,1862.0,119.0,8114.0,24.0,14.0
2357.0,5733.0,1910.0,119.0,8068.0,22.0,7.0
2267.0,5790.0,1943.0,121.0,8030.0,27.0,5.0
2167.0,5831.0,2002.0,121.0,7974.0,24.0,3.0
2077.0,5853.0,2070.0,123.0,7905.0,25.0,4.0
2021.0,5819.0,2160.0,123.0,7815.0,25.0,4.0
1977.0,5769.0,2254.0,125.0,7719.0,27.0,3.0
1952.0,5693.0,2355.0,125.0,7619.0,26.0,5.0
1918.0,5619.0,2463.0,125.0,7508.0,29.0,2.0
1922.0,5501.0,2577.0,125.0,7396.0,27.0,2.0
1912.0,5403.0,2685.0,125.0,7288.0,27.0,4.0
1962.0,5287.0,2751.0,126.0,7224.0,25.0,3.0
2018.0,5146.0,2836.0,128.0,7140.0,24.0,1.0
2066.0,4994.0,2940.0,130.0,7037.0,23.0,1.0
2150.0,4866.0,2984.0,133.0,6992.0,24.0,4.0
2219.0,4758.0,3023.0,135.0,6955.0,22.0,4.0
2295.0,4671.0,3034.0,135.0,6944.0,22.0,4.0
2405.0,4552.0,3043.0,135.0,6937.0,20.0,4.0
2489.0,4460.0,3051.0,139.0,6927.0,22.0,5.0
2585.0,4393.0,3022.0,140.0,6957.0,21.0,6.0
2679.0,4289.0,3032.0,142.0,6947.0,21.0,7.0
2712.0,4244.0,3044.0,144.0,6934.0,22.0,11.0
2791.0,4199.0,3010.0,144.0,6973.0,17.0,11.0
2852.0,4145.0,3003.0,145.0,6981.0,16.0,8.0
2891.0,4144.0,2965.0,145.0,7021.0,14.0,9.0
2889.0,4152.0,2959.0,147.0,7026.0,15.0,10.0
2916.0,4179.0,2905.0,147.0,7082.0,13.0,10.0
2924.0,4255.0,2821.0,147.0,7162.0,17.0,11.0
2938.0,4317.0,2745.0,148.0,7239.0,16.0,10.0
2930.0,4422.0,2648.0,148.0,7334.0,18.0,9.0
2923.0,4484.0,2593.0,148.0,7380.0,27.0,17.0
2942.0,4566.0,2492.0,150.0,7488.0,20.0,16.0
2907.0,4697.0,2396.0,150.0,7576.0,28.0,19.0
2885.0,4816.0,2299.0,152.0,7676.0,25.0,17.0
2846.0,4943.0,2211.0,152.0,7757.0,32.0,16.0
2897.0,4998.0,2105.0,154.0,7865.0,30.0,20.0
2808.0,5098.0,2094.0,155.0,7870.0,36.0,22.0
2748.0,5211.0,2041.0,156.0,7921.0,38.0,19.0
2678.0,5316.0,2006.0,156.0,7959.0,35.0,17.0
2632.0,5412.0,1956.0,157.0,8014.0,30.0,20.0
2572.0,5488.0,1940.0,159.0,8026.0,34.0,21.0
2494.0,5552.0,1954.0,161.0,8007.0,39.0,16.0
2422.0,5597.0,1981.0,163.0,7976.0,43.0,19.0
2349.0,5654.0,1997.0,163.0,7957.0,46.0,12.0
2293.0,5673.0,2034.0,163.0,7922.0,44.0,15.0
2225.0,5704.0,2071.0,163.0,7882.0,47.0,13.0
2215.0,5656.0,2129.0,164.0,7829.0,42.0,13.0
2200.0,5605.0,2195.0,164.0,7764.0,41.0,15.0
2190.0,5559.0,2251.0,166.0,7711.0,38.0,12.0
2191.0,5511.0,2298.0,168.0,7662.0,40.0,15.0
2214.0,5449.0,2337.0,169.0,7620.0,43.0,12.0
2255.0,5398.0,2347.0,172.0,7614.0,39.0,13.0
2308.0,5293.0,2399.0,173.0,7559.0,42.0,11.0
2349.0,5203.0,2448.0,174.0,7507.0,45.0,11.0
2356.0,5124.0,2520.0,175.0,7432.0,48.0,8.0
2383.0,5102.0,2515.0,175.0,7435.0,50.0,11.0
2442.0,5012.0,2546.0,177.0,7403.0,51.0,9.0
2470.0,4941.0,2589.0,177.0,7359.0,52.0,12.0
2516.0,4868.0,2616.0,178.0,7326.0,58.0,14.0
2535.0,4823.0,2642.0,178.0,7302.0,56.0,20.0
2556.0,4786.0,2658.0,179.0,7282.0,60.0,18.0
2601.0,4749.0,2650.0,181.0,7294.0,56.0,19.0
2620.0,4730.0,2650.0,182.0,7293.0,57.0,17.0
2640.0,4698.0,2662.0,183.0,7280.0,58.0,25.0
2709.0,4649.0,2642.0,184.0,7303.0,55.0,21.0
2749.0,4608.0,2643.0,185.0,7295.0,62.0,24.0
2797.0,4657.0,2546.0,186.0,7400.0,54.0,22.0
2829.0,4670.0,2501.0,186.0,7435.0,64.0,20.0
2833.0,4706.0,2461.0,186.0,7473.0,66.0,21.0
2863.0,4726.0,2411.0,187.0,7520.0,69.0,25.0
2897.0,4770.0,2333.0,189.0,7601.0,66.0,28.0
2857.0,4856.0,2287.0,192.0,7643.0,70.0,31.0
2857.0,4928.0,2215.0,194.0,7704.0,81.0,31.0
2848.0,4989.0,2163.0,196.0,7751.0,86.0,31.0
2799.0,5065.0,2136.0,196.0,7783.0,81.0,39.0
2733.0,5132.0,2135.0,197.0,7773.0,92.0,25.0
2659.0,5239.0,2102.0,197.0,7803.0,95.0,27.0
2628.0,5299.0,2073.0,198.0,7837.0,90.0,37.0
2628.0,5349.0,2023.0,200.0,7876.0,101.0,40.0
2587.0,5398.0,2015.0,201.0,7890.0,95.0,33.0
2533.0,5453.0,2014.0,201.0,7894.0,92.0,40.0
2461.0,5458.0,2081.0,201.0,7817.0,102.0,35.0
2430.0,5477.0,2093.0,201.0,7802.0,105.0,23.0
2396.0,5488.0,2116.0,203.0,7782.0,102.0,17.0
2385.0,5508.0,2107.0,204.0,7788.0,105.0,17.0
2395.0,5482.0,2123.0,204.0,7773.0,104.0,21.0
2392.0,5456.0,2152.0,204.0,7731.0,117.0,31.0
2352.0,5457.0,2191.0,204.0,7697.0,112.0,31.0
2320.0,5461.0,2219.0,205.0,7672.0,109.0,26.0
2311.0,5447.0,2242.0,206.0,7651.0,107.0,18.0
2342.0,5416.0,2242.0,206.0,7649.0,109.0,13.0
2398.0,5306.0,2296.0,206.0,7594.0,110.0,20.0
2408.0,5275.0,2317.0,207.0,7579.0,104.0,21.0
2481.0,5219.0,2300.0,207.0,7589.0,111.0,27.0
2494.0,5158.0,2348.0,207.0,7546.0,106.0,20.0
2531.0,5097.0,2372.0,208.0,7520.0,108.0,25.0
2537.0,5019.0,2444.0,209.0,7445.0,111.0,23.0
2562.0,4942.0,2496.0,210.0,7390.0,114.0,23.0
2620.0,4879.0,2501.0,211.0,7396.0,103.0,25.0
2626.0,4846.0,2528.0,213.0,7360.0,112.0,31.0
2683.0,4804.0,2513.0,215.0,7388.0,99.0,32.0
2666.0,4799.0,2535.0,219.0,7356.0,109.0,26.0
2672.0,4781.0,2547.0,221.0,7356.0,97.0,30.0
2670.0,4804.0,2526.0,221.0,7369.0,105.0,27.0
2686.0,4804.0,2510.0,221.0,7390.0,100.0,27.0
2712.0,4837.0,2451.0,221.0,7446.0,103.0,25.0
2716.0,4849.0,2435.0,222.0,7467.0,98.0,23.0
2747.0,4829.0,2424.0,223.0,7467.0,109.0,23.0
2770.0,4825.0,2405.0,225.0,7493.0,102.0,25.0
2800.0,4846.0,2354.0,227.0,7543.0,103.0,32.0
2766.0,4908.0,2326.0,227.0,7577.0,97.0,30.0
2783.0,4968.0,2249.0,229.0,7650.0,101.0,34.0
2809.0,4978.0,2213.0,230.0,7676.0,111.0,29.0
2765.0,5050.0,2185.0,230.0,7711.0,104.0,40.0
2728.0,5081.0,2191.0,231.0,7687.0,122.0,36.0
2715.0,5127.0,2158.0,235.0,7732.0,110.0,42.0
2698.0,5152.0,2150.0,237.0,7736.0,114.0,56.0
2677.0,5210.0,2113.0,238.0,7769.0,118.0,43.0
2658.0,5283.0,2059.0,240.0,7826.0,115.0,40.0
2633.0,5318.0,2049.0,244.0,7830.0,121.0,44.0
2599.0,5342.0,2059.0,244.0,7812.0,129.0,38.0
2572.0,5339.0,2089.0,244.0,7792.0,119.0,51.0
2536.0,5375.0,2089.0,248.0,7781.0,130.0,50.0
2543.0,5336.0,2121.0,248.0,7757.0,122.0,48.0
2563.0,5311.0,2126.0,249.0,7746.0,128.0,46.0
2561.0,5320.0,2119.0,253.0,7759.0,122.0,35.0
2559.0,5320.0,2121.0,253.0,7754.0,125.0,31.0
2550.0,5333.0,2117.0,254.0,7757.0,126.0,28.0
2568.0,5305.0,2127.0,254.0,7747.0,126.0,21.0
2544.0,5312.0,2144.0,256.0,7725.0,131.0,22.0
2557.0,5265.0,2178.0,259.0,7693.0,129.0,20.0
2589.0,5249.0,2162.0,260.0,7711.0,127.0,18.0
2553.0,5248.0,2199.0,263.0,7674.0,127.0,23.0
2545.0,5216.0,2239.0,265.0,7641.0,120.0,23.0
