alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
124704.0,0.0,125296.0,1.0,62579.0,62125.0,43034.0
143452.0,0.0,106548.0,41.0,98635.0,44817.0,27280.0
159458.0,0.0,90542.0,41.0,122477.0,36981.0,21434.0
172955.0,0.0,77045.0,42.0,140814.0,32141.0,18877.0
184464.0,0.0,65536.0,42.0,156076.0,28388.0,16747.0
194335.0,0.0,55665.0,43.0,168872.0,25463.0,14686.0
202623.0,0.0,47377.0,45.0,179234.0,23389.0,13637.0
209805.0,0.0,40195.0,46.0,188193.0,21612.0,12360.0
215852.0,0.0,34148.0,46.0,195532.0,20320.0,11360.0
220996.0,0.0,29004.0,46.0,201864.0,19132.0,10638.0
100582.0,124704.0,24714.0,46.0,207138.0,18148.0,3683.0
85425.0,143452.0,21123.0,47.0,210726.0,18151.0,1845.0
72365.0,159458.0,18177.0,48.0,213353.0,18470.0,1117.0
61443.0,172955.0,15602.0,50.0,215909.0,18489.0,677.0
51940.0,184464.0,13596.0,50.0,217818.0,18586.0,415.0
43697.0,194335.0,11968.0,51.0,219403.0,18629.0,287.0
36692.0,202623.0,10685.0,51.0,220607.0,18708.0,193.0
30540.0,209805.0,9655.0,51.0,221614.0,18731.0,144.0
25253.0,215852.0,8895.0,52.0,222342.0,18763.0,108.0
20706.0,220996.0,8298.0,52.0,222909.0,18793.0,90.0
16837.0,225286.0,7877.0,52.0,223324.0,18799.0,57.0
13561.0,228877.0,7562.0,52.0,223624.0,18814.0,60.0
10847.0,231823.0,7330.0,52.0,223850.0,18820.0,47.0
8454.0,234398.0,7148.0,52.0,224027.0,18825.0,36.0
6589.0,236404.0,7007.0,52.0,224166.0,18827.0,38.0
5038.0,238032.0,6930.0,52.0,224235.0,18835.0,23.0
3818.0,239315.0,6867.0,52.0,224293.0,18840.0,19.0
2834.0,240345.0,6821.0,52.0,224338.0,18841.0,13.0
2105.0,241105.0,6790.0,52.0,224368.0,18842.0,12.0
1522.0,241702.0,6776.0,52.0,224382.0,18842.0,9.0
1118.0,242123.0,6759.0,52.0,224398.0,18843.0,8.0
807.0,242438.0,6755.0,52.0,224402.0,18843.0,8.0
581.0,242670.0,6749.0,52.0,224408.0,18843.0,5.0
403.0,242852.0,6745.0,52.0,224413.0,18842.0,3.0
264.0,242993.0,6743.0,52.0,224414.0,18843.0,3.0
188.0,243070.0,6742.0,52.0,224416.0,18842.0,2.0
126.0,243133.0,6741.0,52.0,224417.0,18842.0,2.0
81.0,243179.0,6740.0,52.0,224418.0,18842.0,1.0
50.0,243210.0,6740.0,52.0,224419.0,18841.0,0.0
36.0,243224.0,6740.0,52.0,224419.0,18841.0,12604.0
19.0,118537.0,131444.0,52.0,112319.0,6237.0,1264.0
29.0,99793.0,150178.0,52.0,94849.0,4973.0,1026.0
37.0,83793.0,166170.0,52.0,79883.0,3947.0,778.0
45.0,70300.0,179655.0,52.0,67176.0,3169.0,634.0
63.0,58793.0,191144.0,52.0,56321.0,2535.0,516.0
86.0,48923.0,200991.0,52.0,46990.0,2019.0,425.0
121.0,40636.0,209243.0,52.0,39163.0,1594.0,376.0
166.0,33455.0,216379.0,52.0,32403.0,1218.0,284.0
218.0,27408.0,222374.0,52.0,26692.0,934.0,193.0
288.0,22264.0,227448.0,53.0,21811.0,741.0,169.0
372.0,17974.0,231654.0,53.0,17774.0,572.0,128.0
434.0,14397.0,235169.0,54.0,14387.0,444.0,86.0
520.0,11465.0,238015.0,54.0,11625.0,360.0,78.0
622.0,8902.0,240476.0,54.0,9242.0,282.0,74.0
727.0,6916.0,242357.0,55.0,7427.0,216.0,50.0
844.0,5312.0,243844.0,56.0,5990.0,166.0,45.0
974.0,4065.0,244961.0,56.0,4914.0,125.0,34.0
1132.0,3081.0,245787.0,56.0,4122.0,91.0,25.0
1303.0,2373.0,246324.0,56.0,3602.0,74.0,24.0
1472.0,1846.0,246682.0,57.0,3264.0,54.0,25.0
1650.0,1509.0,246841.0,58.0,3104.0,55.0,24.0
1835.0,1270.0,246895.0,58.0,3066.0,39.0,18.0
2016.0,1138.0,246846.0,58.0,3121.0,33.0,17.0
2194.0,1070.0,246736.0,58.0,3232.0,32.0,23.0
2389.0,1054.0,246557.0,59.0,3414.0,29.0,19.0
2602.0,1118.0,246280.0,61.0,3694.0,26.0,21.0
2820.0,1221.0,245959.0,63.0,4016.0,25.0,22.0
3001.0,1379.0,245620.0,65.0,4355.0,25.0,28.0
3206.0,1571.0,245223.0,69.0,4746.0,31.0,32.0
3394.0,1796.0,244810.0,70.0,5155.0,35.0,31.0
3617.0,2041.0,244342.0,74.0,5618.0,40.0,32.0
3866.0,2298.0,243836.0,77.0,6120.0,44.0,23.0
4135.0,2573.0,243292.0,81.0,6663.0,45.0,32.0
4375.0,2861.0,242764.0,82.0,7195.0,41.0,45.0
